drug	genes	question	long_answer	answer	llm_answer	score
rasburicase	G6PD	What would be the clinical guidance for someone who is Deficient for G6PD with regards to taking rasburicase? Please respond with just 'Avoid' if the guidance is to avoid the drug or take an alternate drug, 'Alter dose' if the guideline is to raise, lower, or start with a specific dose, or 'Unchanged', if there are no clinical recommendations or there is no deviation from standard care for this phenotype and drug.	Avoid use	Avoid	Avoid	True
rasburicase	G6PD	What would be the clinical guidance for someone who is Normal for G6PD with regards to taking rasburicase? Please respond with just 'Avoid' if the guidance is to avoid the drug or take an alternate drug, 'Alter dose' if the guideline is to raise, lower, or start with a specific dose, or 'Unchanged', if there are no clinical recommendations or there is no deviation from standard care for this phenotype and drug.	No reason to avoid based on G6PD status	Unchanged	Unchanged	True
rasburicase	G6PD	What would be the clinical guidance for someone who is Variable for G6PD with regards to taking rasburicase? Please respond with just 'Avoid' if the guidance is to avoid the drug or take an alternate drug, 'Alter dose' if the guideline is to raise, lower, or start with a specific dose, or 'Unchanged', if there are no clinical recommendations or there is no deviation from standard care for this phenotype and drug.	To ascertain G6PD status, enzyme activity must be measured. Drug use should be guided per the recommendations based on the activity-based phenotype.	Unchanged	Avoid	False
rasburicase	G6PD	What would be the clinical guidance for someone who is Indeterminate for G6PD with regards to taking rasburicase? Please respond with just 'Avoid' if the guidance is to avoid the drug or take an alternate drug, 'Alter dose' if the guideline is to raise, lower, or start with a specific dose, or 'Unchanged', if there are no clinical recommendations or there is no deviation from standard care for this phenotype and drug.	To ascertain G6PD status, enzyme activity must be measured. Drug use should be guided per the recommendations based on the activity-based phenotype.	Unchanged	Avoid	False
ribostamycin	MT-RNR1	What would be the clinical guidance for someone who is increased risk of aminoglycoside-induced hearing loss for MT-RNR1 with regards to taking ribostamycin? Please respond with just 'Avoid' if the guidance is to avoid the drug or take an alternate drug, 'Alter dose' if the guideline is to raise, lower, or start with a specific dose, or 'Unchanged', if there are no clinical recommendations or there is no deviation from standard care for this phenotype and drug.	Avoid aminoglycoside anitbiotics unless the high risk of permanent hearing loss is outweighed by the severity of infection and lack of safe or effective alternative therapies.	Avoid	Avoid	True
ribostamycin	MT-RNR1	What would be the clinical guidance for someone who is uncertain risk of aminoglycoside-induced hearing loss for MT-RNR1 with regards to taking ribostamycin? Please respond with just 'Avoid' if the guidance is to avoid the drug or take an alternate drug, 'Alter dose' if the guideline is to raise, lower, or start with a specific dose, or 'Unchanged', if there are no clinical recommendations or there is no deviation from standard care for this phenotype and drug.	Use aminoglycoside antibiotics at standard doses for the shortest feasible course with therapeutic dose monitoring. Evaluate regularly for hearing loss in line with local guidance.	Unchanged	Alter dose	False
ribostamycin	MT-RNR1	What would be the clinical guidance for someone who is normal risk of aminoglycoside-induced hearing loss for MT-RNR1 with regards to taking ribostamycin? Please respond with just 'Avoid' if the guidance is to avoid the drug or take an alternate drug, 'Alter dose' if the guideline is to raise, lower, or start with a specific dose, or 'Unchanged', if there are no clinical recommendations or there is no deviation from standard care for this phenotype and drug.	Use aminoglycoside antibiotics at standard doses for the shortest feasible course with therapeutic dose monitoring. Evaluate regularly for hearing loss in line with local guidance.	Unchanged	Unchanged	True
rosuvastatin	ABCG2;SLCO1B1	What would be the clinical guidance for someone who is Poor Function for ABCG2 and No Result for SLCO1B1 with regards to taking rosuvastatin? Please respond with just 'Avoid' if the guidance is to avoid the drug or take an alternate drug, 'Alter dose' if the guideline is to raise, lower, or start with a specific dose, or 'Unchanged', if there are no clinical recommendations or there is no deviation from standard care for this phenotype and drug.	Based on ABCG2 status, prescribe ≤20mg as a starting dose and adjust doses of rosuvastatin based on disease-specific and specific population guidelines. If dose >20mg needed for desired efficacy, consider an alternative statin or combination therapy (i.e., rosuvastatin plus non-statin guideline directed medical therapy) (PMID: 30423391). SLCO1B1 genotype result is not available.	Alter dose	Alter dose	True
rosuvastatin	ABCG2;SLCO1B1	What would be the clinical guidance for someone who is Poor Function for ABCG2 and Possible Decreased Function for SLCO1B1 with regards to taking rosuvastatin? Please respond with just 'Avoid' if the guidance is to avoid the drug or take an alternate drug, 'Alter dose' if the guideline is to raise, lower, or start with a specific dose, or 'Unchanged', if there are no clinical recommendations or there is no deviation from standard care for this phenotype and drug.	Prescribe ≤10mg as a starting dose and adjust doses of rosuvastatin based on disease-specific and specific population guidelines. If dose >10mg needed for desired efficacy, consider an alternative statin or combination therapy (i.e., rosuvastatin plus non-statin guideline directed medical therapy) (PMID: 30423391).	Alter dose	Alter dose	True
rosuvastatin	ABCG2;SLCO1B1	What would be the clinical guidance for someone who is Poor Function for ABCG2 and Normal Function for SLCO1B1 with regards to taking rosuvastatin? Please respond with just 'Avoid' if the guidance is to avoid the drug or take an alternate drug, 'Alter dose' if the guideline is to raise, lower, or start with a specific dose, or 'Unchanged', if there are no clinical recommendations or there is no deviation from standard care for this phenotype and drug.	Prescribe ≤20mg as a starting dose and adjust doses of rosuvastatin based on disease-specific and specific population guidelines. If dose >20mg needed for desired efficacy, consider an alternative statin or combination therapy (i.e., rosuvastatin plus non-statin guideline directed medical therapy) (PMID: 30423391).	Alter dose	Avoid	False
rosuvastatin	ABCG2;SLCO1B1	What would be the clinical guidance for someone who is Decreased Function for ABCG2 and Increased Function for SLCO1B1 with regards to taking rosuvastatin? Please respond with just 'Avoid' if the guidance is to avoid the drug or take an alternate drug, 'Alter dose' if the guideline is to raise, lower, or start with a specific dose, or 'Unchanged', if there are no clinical recommendations or there is no deviation from standard care for this phenotype and drug.	Prescribe desired starting dose and adjust doses of rosuvastatin based on disease-specific and specific population guidelines.	Unchanged	Alter dose	False
rosuvastatin	ABCG2;SLCO1B1	What would be the clinical guidance for someone who is Normal Function for ABCG2 and Increased Function for SLCO1B1 with regards to taking rosuvastatin? Please respond with just 'Avoid' if the guidance is to avoid the drug or take an alternate drug, 'Alter dose' if the guideline is to raise, lower, or start with a specific dose, or 'Unchanged', if there are no clinical recommendations or there is no deviation from standard care for this phenotype and drug.	Prescribe desired starting dose and adjust doses of rosuvastatin based on disease-specific and specific population guidelines.	Unchanged	Alter dose	False
rosuvastatin	ABCG2;SLCO1B1	What would be the clinical guidance for someone who is Decreased Function for ABCG2 and Possible Decreased Function for SLCO1B1 with regards to taking rosuvastatin? Please respond with just 'Avoid' if the guidance is to avoid the drug or take an alternate drug, 'Alter dose' if the guideline is to raise, lower, or start with a specific dose, or 'Unchanged', if there are no clinical recommendations or there is no deviation from standard care for this phenotype and drug.	Prescribe desired starting dose and adjust doses of rosuvastatin based on disease-specific and specific population guidelines. Prescriber should be aware of possible increased risk for myopathy especially for doses >20mg.	Unchanged	Alter dose	False
sertraline	CYP2B6;CYP2C19	What would be the clinical guidance for someone who is Poor Metabolizer for CYP2B6 and Normal Metabolizer for CYP2C19 with regards to taking sertraline? Please respond with just 'Avoid' if the guidance is to avoid the drug or take an alternate drug, 'Alter dose' if the guideline is to raise, lower, or start with a specific dose, or 'Unchanged', if there are no clinical recommendations or there is no deviation from standard care for this phenotype and drug.	Consider a lower starting dose, slower titration schedule and 25% reduction of standard maintenance dose as compared to CYP2B6 normal metabolizers or select a clinically appropriate alternative antidepressant not predominantly metabolized by CYP2B6.	Alter dose	Alter dose	True
sertraline	CYP2B6;CYP2C19	What would be the clinical guidance for someone who is Poor Metabolizer for CYP2B6 and Likely Intermediate Metabolizer for CYP2C19 with regards to taking sertraline? Please respond with just 'Avoid' if the guidance is to avoid the drug or take an alternate drug, 'Alter dose' if the guideline is to raise, lower, or start with a specific dose, or 'Unchanged', if there are no clinical recommendations or there is no deviation from standard care for this phenotype and drug.	Consider a lower starting dose, slower titration schedule and 50% reduction of standard maintenance dose as compared to CYP2B6 normal metabolizers	Alter dose	Alter dose	True
sertraline	CYP2B6;CYP2C19	What would be the clinical guidance for someone who is Rapid Metabolizer for CYP2B6 and Likely Poor Metabolizer for CYP2C19 with regards to taking sertraline? Please respond with just 'Avoid' if the guidance is to avoid the drug or take an alternate drug, 'Alter dose' if the guideline is to raise, lower, or start with a specific dose, or 'Unchanged', if there are no clinical recommendations or there is no deviation from standard care for this phenotype and drug.	Consider a lower starting dose, slower titration schedule and 50% reduction of standard maintenance dose as compared to CYP2C19 normal metabolizers or select a clinically appropriate alternative antidepressant not predominantly metabolized by CYP2C19.	Alter dose	Alter dose	True
sertraline	CYP2B6;CYP2C19	What would be the clinical guidance for someone who is Poor Metabolizer for CYP2B6 and Poor Metabolizer for CYP2C19 with regards to taking sertraline? Please respond with just 'Avoid' if the guidance is to avoid the drug or take an alternate drug, 'Alter dose' if the guideline is to raise, lower, or start with a specific dose, or 'Unchanged', if there are no clinical recommendations or there is no deviation from standard care for this phenotype and drug.	Select an alternative antidepressant not primarily metabolized by CYP2C19 or CYP2B6.	Avoid	Alter dose	False
sertraline	CYP2B6;CYP2C19	What would be the clinical guidance for someone who is Poor Metabolizer for CYP2B6 and Likely Poor Metabolizer for CYP2C19 with regards to taking sertraline? Please respond with just 'Avoid' if the guidance is to avoid the drug or take an alternate drug, 'Alter dose' if the guideline is to raise, lower, or start with a specific dose, or 'Unchanged', if there are no clinical recommendations or there is no deviation from standard care for this phenotype and drug.	Select an alternative antidepressant not primarily metabolized by CYP2C19 or CYP2B6.	Avoid	Alter dose	False
sertraline	CYP2B6;CYP2C19	What would be the clinical guidance for someone who is Intermediate Metabolizer for CYP2B6 and Indeterminate for CYP2C19 with regards to taking sertraline? Please respond with just 'Avoid' if the guidance is to avoid the drug or take an alternate drug, 'Alter dose' if the guideline is to raise, lower, or start with a specific dose, or 'Unchanged', if there are no clinical recommendations or there is no deviation from standard care for this phenotype and drug.	Initiate therapy with recommended starting dose. Consider a slower titration schedule and lower maintenance dose.	Unchanged	Unchanged	True
sertraline	CYP2B6;CYP2C19	What would be the clinical guidance for someone who is Normal Metabolizer for CYP2B6 and Likely Intermediate Metabolizer for CYP2C19 with regards to taking sertraline? Please respond with just 'Avoid' if the guidance is to avoid the drug or take an alternate drug, 'Alter dose' if the guideline is to raise, lower, or start with a specific dose, or 'Unchanged', if there are no clinical recommendations or there is no deviation from standard care for this phenotype and drug.	Initiate therapy with recommended starting dose. Consider a slower titration schedule and lower maintenance dose.	Unchanged	Alter dose	False
sertraline	CYP2B6;CYP2C19	What would be the clinical guidance for someone who is Intermediate Metabolizer for CYP2B6 and Likely Intermediate Metabolizer for CYP2C19 with regards to taking sertraline? Please respond with just 'Avoid' if the guidance is to avoid the drug or take an alternate drug, 'Alter dose' if the guideline is to raise, lower, or start with a specific dose, or 'Unchanged', if there are no clinical recommendations or there is no deviation from standard care for this phenotype and drug.	Initiate therapy with recommended starting dose. Consider a slower titration schedule and lower maintenance dose than normal metabolizers.	Unchanged	Alter dose	False
sevoflurane	RYR1;CACNA1S	What would be the clinical guidance for someone who is Malignant Hyperthermia Susceptibility for RYR1 and Uncertain Susceptibility for CACNA1S with regards to taking sevoflurane? Please respond with just 'Avoid' if the guidance is to avoid the drug or take an alternate drug, 'Alter dose' if the guideline is to raise, lower, or start with a specific dose, or 'Unchanged', if there are no clinical recommendations or there is no deviation from standard care for this phenotype and drug.	Halogenated volatile anesthetics or the depolarizing muscle relaxant succinylcholine are relatively contraindicated in persons with malignant hyperthermia susceptibility (MHS). They should not be used, except in extraordinary circumstances where the benefits outweigh the risks. In general, alternative anesthetics are widely available and effective in patients with MHS.	Avoid	Avoid	True
sevoflurane	RYR1;CACNA1S	What would be the clinical guidance for someone who is Malignant Hyperthermia Susceptibility for RYR1 and No Result for CACNA1S with regards to taking sevoflurane? Please respond with just 'Avoid' if the guidance is to avoid the drug or take an alternate drug, 'Alter dose' if the guideline is to raise, lower, or start with a specific dose, or 'Unchanged', if there are no clinical recommendations or there is no deviation from standard care for this phenotype and drug.	Based on RYR1 status, halogenated volatile anesthetics or the depolarizing muscle relaxant succinylcholine are relatively contraindicated in persons with malignant hyperthermia susceptibility (MHS). They should not be used, except in extraordinary circumstances where the benefits outweigh the risks. In general, alternative anesthetics are widely available and effective in patients with MHS.	Avoid	Avoid	True
sevoflurane	RYR1;CACNA1S	What would be the clinical guidance for someone who is Uncertain Susceptibility for RYR1 and Malignant Hyperthermia Susceptibility for CACNA1S with regards to taking sevoflurane? Please respond with just 'Avoid' if the guidance is to avoid the drug or take an alternate drug, 'Alter dose' if the guideline is to raise, lower, or start with a specific dose, or 'Unchanged', if there are no clinical recommendations or there is no deviation from standard care for this phenotype and drug.	Halogenated volatile anesthetics or the depolarizing muscle relaxant succinylcholine are relatively contraindicated in persons with malignant hyperthermia susceptibility (MHS). They should not be used, except in extraordinary circumstances where the benefits outweigh the risks. In general, alternative anesthetics are widely available and effective in patients with MHS.	Avoid	Unchanged	False
sevoflurane	RYR1;CACNA1S	What would be the clinical guidance for someone who is Uncertain Susceptibility for RYR1 and No Result for CACNA1S with regards to taking sevoflurane? Please respond with just 'Avoid' if the guidance is to avoid the drug or take an alternate drug, 'Alter dose' if the guideline is to raise, lower, or start with a specific dose, or 'Unchanged', if there are no clinical recommendations or there is no deviation from standard care for this phenotype and drug.	No CACNA1S genotype is available. Based on RYR1 status, clinical findings, family history, further genetic testing and other laboratory data should guide use of halogenated volatile anesthetics or depolarizing muscle relaxants.	Unchanged	Unchanged	True
sevoflurane	RYR1;CACNA1S	What would be the clinical guidance for someone who is Uncertain Susceptibility for RYR1 and Uncertain Susceptibility for CACNA1S with regards to taking sevoflurane? Please respond with just 'Avoid' if the guidance is to avoid the drug or take an alternate drug, 'Alter dose' if the guideline is to raise, lower, or start with a specific dose, or 'Unchanged', if there are no clinical recommendations or there is no deviation from standard care for this phenotype and drug.	Clinical findings, family history, further genetic testing and other laboratory data should guide use of halogenated volatile anesthetics or depolarizing muscle relaxants.	Unchanged	Unchanged	True
sevoflurane	RYR1;CACNA1S	What would be the clinical guidance for someone who is No Result for RYR1 and Uncertain Susceptibility for CACNA1S with regards to taking sevoflurane? Please respond with just 'Avoid' if the guidance is to avoid the drug or take an alternate drug, 'Alter dose' if the guideline is to raise, lower, or start with a specific dose, or 'Unchanged', if there are no clinical recommendations or there is no deviation from standard care for this phenotype and drug.	No RYR1 genotype is available. Based on CACNA1S status, clinical findings, family history, further genetic testing and other laboratory data should guide use of halogenated volatile anesthetics or depolarizing muscle relaxants.	Unchanged	Unchanged	True
simvastatin	SLCO1B1	What would be the clinical guidance for someone who is Possible Decreased Function for SLCO1B1 with regards to taking simvastatin? Please respond with just 'Avoid' if the guidance is to avoid the drug or take an alternate drug, 'Alter dose' if the guideline is to raise, lower, or start with a specific dose, or 'Unchanged', if there are no clinical recommendations or there is no deviation from standard care for this phenotype and drug.	Prescribe an alternative statin depending on the desired potency (see Figure 1 of PMID: 35152405 for recommendations for alternative statins). If simvastatin therapy is warranted, limit dose to <20mg/day.	Avoid	Alter dose	False
simvastatin	SLCO1B1	What would be the clinical guidance for someone who is Decreased Function for SLCO1B1 with regards to taking simvastatin? Please respond with just 'Avoid' if the guidance is to avoid the drug or take an alternate drug, 'Alter dose' if the guideline is to raise, lower, or start with a specific dose, or 'Unchanged', if there are no clinical recommendations or there is no deviation from standard care for this phenotype and drug.	Prescribe an alternative statin depending on the desired potency (see Figure 1 of PMID: 35152405 for recommendations for alternative statins). If simvastatin therapy is warranted, limit dose to <20mg/day.	Avoid	Avoid	True
simvastatin	SLCO1B1	What would be the clinical guidance for someone who is Poor Function for SLCO1B1 with regards to taking simvastatin? Please respond with just 'Avoid' if the guidance is to avoid the drug or take an alternate drug, 'Alter dose' if the guideline is to raise, lower, or start with a specific dose, or 'Unchanged', if there are no clinical recommendations or there is no deviation from standard care for this phenotype and drug.	Prescribe an alternative statin depending on the desired potency (see Figure 1 of PMID: 35152405 for recommendations for alternative statins).	Avoid	Alter dose	False
simvastatin	SLCO1B1	What would be the clinical guidance for someone who is Increased Function for SLCO1B1 with regards to taking simvastatin? Please respond with just 'Avoid' if the guidance is to avoid the drug or take an alternate drug, 'Alter dose' if the guideline is to raise, lower, or start with a specific dose, or 'Unchanged', if there are no clinical recommendations or there is no deviation from standard care for this phenotype and drug.	Prescribe desired starting dose and adjust doses based on disease-specific guidelines.	Unchanged	Avoid	False
simvastatin	SLCO1B1	What would be the clinical guidance for someone who is Normal Function for SLCO1B1 with regards to taking simvastatin? Please respond with just 'Avoid' if the guidance is to avoid the drug or take an alternate drug, 'Alter dose' if the guideline is to raise, lower, or start with a specific dose, or 'Unchanged', if there are no clinical recommendations or there is no deviation from standard care for this phenotype and drug.	Prescribe desired starting dose and adjust doses based on disease-specific guidelines.	Unchanged	Unchanged	True
simvastatin	SLCO1B1	What would be the clinical guidance for someone who is Indeterminate for SLCO1B1 with regards to taking simvastatin? Please respond with just 'Avoid' if the guidance is to avoid the drug or take an alternate drug, 'Alter dose' if the guideline is to raise, lower, or start with a specific dose, or 'Unchanged', if there are no clinical recommendations or there is no deviation from standard care for this phenotype and drug.	No recommendation	Unchanged	Alter dose	False
streptomycin	MT-RNR1	What would be the clinical guidance for someone who is increased risk of aminoglycoside-induced hearing loss for MT-RNR1 with regards to taking streptomycin? Please respond with just 'Avoid' if the guidance is to avoid the drug or take an alternate drug, 'Alter dose' if the guideline is to raise, lower, or start with a specific dose, or 'Unchanged', if there are no clinical recommendations or there is no deviation from standard care for this phenotype and drug.	Avoid aminoglycoside anitbiotics unless the high risk of permanent hearing loss is outweighed by the severity of infection and lack of safe or effective alternative therapies.	Avoid	Avoid	True
streptomycin	MT-RNR1	What would be the clinical guidance for someone who is uncertain risk of aminoglycoside-induced hearing loss for MT-RNR1 with regards to taking streptomycin? Please respond with just 'Avoid' if the guidance is to avoid the drug or take an alternate drug, 'Alter dose' if the guideline is to raise, lower, or start with a specific dose, or 'Unchanged', if there are no clinical recommendations or there is no deviation from standard care for this phenotype and drug.	Use aminoglycoside antibiotics at standard doses for the shortest feasible course with therapeutic dose monitoring. Evaluate regularly for hearing loss in line with local guidance.	Unchanged	Avoid	False
streptomycin	MT-RNR1	What would be the clinical guidance for someone who is normal risk of aminoglycoside-induced hearing loss for MT-RNR1 with regards to taking streptomycin? Please respond with just 'Avoid' if the guidance is to avoid the drug or take an alternate drug, 'Alter dose' if the guideline is to raise, lower, or start with a specific dose, or 'Unchanged', if there are no clinical recommendations or there is no deviation from standard care for this phenotype and drug.	Use aminoglycoside antibiotics at standard doses for the shortest feasible course with therapeutic dose monitoring. Evaluate regularly for hearing loss in line with local guidance.	Unchanged	Avoid	False
succinylcholine	RYR1;CACNA1S	What would be the clinical guidance for someone who is Uncertain Susceptibility for RYR1 and Malignant Hyperthermia Susceptibility for CACNA1S with regards to taking succinylcholine? Please respond with just 'Avoid' if the guidance is to avoid the drug or take an alternate drug, 'Alter dose' if the guideline is to raise, lower, or start with a specific dose, or 'Unchanged', if there are no clinical recommendations or there is no deviation from standard care for this phenotype and drug.	Halogenated volatile anesthetics or the depolarizing muscle relaxant succinylcholine are relatively contraindicated in persons with malignant hyperthermia susceptibility (MHS). They should not be used, except in extraordinary circumstances where the benefits outweigh the risks. In general, alternative anesthetics are widely available and effective in patients with MHS.	Avoid	Avoid	True
succinylcholine	RYR1;CACNA1S	What would be the clinical guidance for someone who is No Result for RYR1 and Malignant Hyperthermia Susceptibility for CACNA1S with regards to taking succinylcholine? Please respond with just 'Avoid' if the guidance is to avoid the drug or take an alternate drug, 'Alter dose' if the guideline is to raise, lower, or start with a specific dose, or 'Unchanged', if there are no clinical recommendations or there is no deviation from standard care for this phenotype and drug.	Based on CACNA1S status, halogenated volatile anesthetics or the depolarizing muscle relaxant succinylcholine are relatively contraindicated in persons with malignant hyperthermia susceptibility (MHS). They should not be used, except in extraordinary circumstances where the benefits outweigh the risks. In general, alternative anesthetics are widely available and effective in patients with MHS.	Avoid	Avoid	True
succinylcholine	RYR1;CACNA1S	What would be the clinical guidance for someone who is Malignant Hyperthermia Susceptibility for RYR1 and Malignant Hyperthermia Susceptibility for CACNA1S with regards to taking succinylcholine? Please respond with just 'Avoid' if the guidance is to avoid the drug or take an alternate drug, 'Alter dose' if the guideline is to raise, lower, or start with a specific dose, or 'Unchanged', if there are no clinical recommendations or there is no deviation from standard care for this phenotype and drug.	Halogenated volatile anesthetics or the depolarizing muscle relaxant succinylcholine are relatively contraindicated in persons with malignant hyperthermia susceptibility (MHS). They should not be used, except in extraordinary circumstances where the benefits outweigh the risks. In general, alternative anesthetics are widely available and effective in patients with MHS.	Avoid	Avoid	True
succinylcholine	RYR1;CACNA1S	What would be the clinical guidance for someone who is Uncertain Susceptibility for RYR1 and Uncertain Susceptibility for CACNA1S with regards to taking succinylcholine? Please respond with just 'Avoid' if the guidance is to avoid the drug or take an alternate drug, 'Alter dose' if the guideline is to raise, lower, or start with a specific dose, or 'Unchanged', if there are no clinical recommendations or there is no deviation from standard care for this phenotype and drug.	Clinical findings, family history, further genetic testing and other laboratory data should guide use of halogenated volatile anesthetics or depolarizing muscle relaxants.	Unchanged	Avoid	False
succinylcholine	RYR1;CACNA1S	What would be the clinical guidance for someone who is Uncertain Susceptibility for RYR1 and No Result for CACNA1S with regards to taking succinylcholine? Please respond with just 'Avoid' if the guidance is to avoid the drug or take an alternate drug, 'Alter dose' if the guideline is to raise, lower, or start with a specific dose, or 'Unchanged', if there are no clinical recommendations or there is no deviation from standard care for this phenotype and drug.	No CACNA1S genotype is available. Based on RYR1 status, clinical findings, family history, further genetic testing and other laboratory data should guide use of halogenated volatile anesthetics or depolarizing muscle relaxants.	Unchanged	Unchanged	True
succinylcholine	RYR1;CACNA1S	What would be the clinical guidance for someone who is No Result for RYR1 and Uncertain Susceptibility for CACNA1S with regards to taking succinylcholine? Please respond with just 'Avoid' if the guidance is to avoid the drug or take an alternate drug, 'Alter dose' if the guideline is to raise, lower, or start with a specific dose, or 'Unchanged', if there are no clinical recommendations or there is no deviation from standard care for this phenotype and drug.	No RYR1 genotype is available. Based on CACNA1S status, clinical findings, family history, further genetic testing and other laboratory data should guide use of halogenated volatile anesthetics or depolarizing muscle relaxants.	Unchanged	Alter dose	False
sulfadiazine	G6PD	What would be the clinical guidance for someone who is Deficient for G6PD with regards to taking sulfadiazine? Please respond with just 'Avoid' if the guidance is to avoid the drug or take an alternate drug, 'Alter dose' if the guideline is to raise, lower, or start with a specific dose, or 'Unchanged', if there are no clinical recommendations or there is no deviation from standard care for this phenotype and drug.	No reason to avoid based on G6PD status at standard doses	Unchanged	Avoid	False
sulfadiazine	G6PD	What would be the clinical guidance for someone who is Indeterminate for G6PD with regards to taking sulfadiazine? Please respond with just 'Avoid' if the guidance is to avoid the drug or take an alternate drug, 'Alter dose' if the guideline is to raise, lower, or start with a specific dose, or 'Unchanged', if there are no clinical recommendations or there is no deviation from standard care for this phenotype and drug.	To ascertain G6PD status, enzyme activity must be measured. Drug use should be guided per the recommendations based on the activity-based phenotype.	Unchanged	Avoid	False
sulfadiazine	G6PD	What would be the clinical guidance for someone who is Deficient with CNSHA for G6PD with regards to taking sulfadiazine? Please respond with just 'Avoid' if the guidance is to avoid the drug or take an alternate drug, 'Alter dose' if the guideline is to raise, lower, or start with a specific dose, or 'Unchanged', if there are no clinical recommendations or there is no deviation from standard care for this phenotype and drug.	Use drug cautiously; if used, close monitoring for acute exacerbation of chronic hemolysis is recommended	Unchanged	Avoid	False
sulfadimidine	G6PD	What would be the clinical guidance for someone who is Deficient for G6PD with regards to taking sulfadimidine? Please respond with just 'Avoid' if the guidance is to avoid the drug or take an alternate drug, 'Alter dose' if the guideline is to raise, lower, or start with a specific dose, or 'Unchanged', if there are no clinical recommendations or there is no deviation from standard care for this phenotype and drug.	No reason to avoid based on G6PD status at standard doses	Unchanged	Avoid	False
sulfadimidine	G6PD	What would be the clinical guidance for someone who is Indeterminate for G6PD with regards to taking sulfadimidine? Please respond with just 'Avoid' if the guidance is to avoid the drug or take an alternate drug, 'Alter dose' if the guideline is to raise, lower, or start with a specific dose, or 'Unchanged', if there are no clinical recommendations or there is no deviation from standard care for this phenotype and drug.	To ascertain G6PD status, enzyme activity must be measured. Drug use should be guided per the recommendations based on the activity-based phenotype.	Unchanged	Avoid	False
sulfadimidine	G6PD	What would be the clinical guidance for someone who is Deficient with CNSHA for G6PD with regards to taking sulfadimidine? Please respond with just 'Avoid' if the guidance is to avoid the drug or take an alternate drug, 'Alter dose' if the guideline is to raise, lower, or start with a specific dose, or 'Unchanged', if there are no clinical recommendations or there is no deviation from standard care for this phenotype and drug.	Use drug cautiously; if used, close monitoring for acute exacerbation of chronic hemolysis is recommended	Unchanged	No response (safety filter)	False
sulfamethoxazole / trimethoprim	G6PD	What would be the clinical guidance for someone who is Normal for G6PD with regards to taking sulfamethoxazole / trimethoprim? Please respond with just 'Avoid' if the guidance is to avoid the drug or take an alternate drug, 'Alter dose' if the guideline is to raise, lower, or start with a specific dose, or 'Unchanged', if there are no clinical recommendations or there is no deviation from standard care for this phenotype and drug.	No reason to avoid based on G6PD status	Unchanged	Unchanged	True
sulfamethoxazole / trimethoprim	G6PD	What would be the clinical guidance for someone who is Variable for G6PD with regards to taking sulfamethoxazole / trimethoprim? Please respond with just 'Avoid' if the guidance is to avoid the drug or take an alternate drug, 'Alter dose' if the guideline is to raise, lower, or start with a specific dose, or 'Unchanged', if there are no clinical recommendations or there is no deviation from standard care for this phenotype and drug.	No reason to avoid based on G6PD status at standard doses	Unchanged	Avoid	False
sulfamethoxazole / trimethoprim	G6PD	What would be the clinical guidance for someone who is Deficient for G6PD with regards to taking sulfamethoxazole / trimethoprim? Please respond with just 'Avoid' if the guidance is to avoid the drug or take an alternate drug, 'Alter dose' if the guideline is to raise, lower, or start with a specific dose, or 'Unchanged', if there are no clinical recommendations or there is no deviation from standard care for this phenotype and drug.	No reason to avoid based on G6PD status at standard doses	Unchanged	Avoid	False
sulfanilamide	G6PD	What would be the clinical guidance for someone who is Normal for G6PD with regards to taking sulfanilamide? Please respond with just 'Avoid' if the guidance is to avoid the drug or take an alternate drug, 'Alter dose' if the guideline is to raise, lower, or start with a specific dose, or 'Unchanged', if there are no clinical recommendations or there is no deviation from standard care for this phenotype and drug.	No reason to avoid based on G6PD status	Unchanged	Unchanged	True
sulfanilamide	G6PD	What would be the clinical guidance for someone who is Indeterminate for G6PD with regards to taking sulfanilamide? Please respond with just 'Avoid' if the guidance is to avoid the drug or take an alternate drug, 'Alter dose' if the guideline is to raise, lower, or start with a specific dose, or 'Unchanged', if there are no clinical recommendations or there is no deviation from standard care for this phenotype and drug.	To ascertain G6PD status, enzyme activity must be measured. Drug use should be guided per the recommendations based on the activity-based phenotype.	Unchanged	Avoid	False
sulfanilamide	G6PD	What would be the clinical guidance for someone who is Deficient with CNSHA for G6PD with regards to taking sulfanilamide? Please respond with just 'Avoid' if the guidance is to avoid the drug or take an alternate drug, 'Alter dose' if the guideline is to raise, lower, or start with a specific dose, or 'Unchanged', if there are no clinical recommendations or there is no deviation from standard care for this phenotype and drug.	Use drug cautiously; if used, close monitoring for acute exacerbation of chronic hemolysis is recommended	Unchanged	Avoid	False
sulfasalazine	G6PD	What would be the clinical guidance for someone who is Deficient for G6PD with regards to taking sulfasalazine? Please respond with just 'Avoid' if the guidance is to avoid the drug or take an alternate drug, 'Alter dose' if the guideline is to raise, lower, or start with a specific dose, or 'Unchanged', if there are no clinical recommendations or there is no deviation from standard care for this phenotype and drug.	No reason to avoid based on G6PD status at standard doses	Unchanged	Avoid	False
sulfasalazine	G6PD	What would be the clinical guidance for someone who is Indeterminate for G6PD with regards to taking sulfasalazine? Please respond with just 'Avoid' if the guidance is to avoid the drug or take an alternate drug, 'Alter dose' if the guideline is to raise, lower, or start with a specific dose, or 'Unchanged', if there are no clinical recommendations or there is no deviation from standard care for this phenotype and drug.	To ascertain G6PD status, enzyme activity must be measured. Drug use should be guided per the recommendations based on the activity-based phenotype.	Unchanged	Avoid	False
